{'corrected_tags': 'B-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429937576.0	['google', 'launched', 'missing', 'person', 'finder']
{'corrected_tags': 'I-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429937588.0	['google', 'launches', 'person', 'finder', 'service', 'track', 'missing', 'persons']
1429937600.0	['google', 'person', 'finder', 'india']
1429937617.0	['nextbigwhat', 'googleindia', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt', 'http']
1429937637.0	['launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429937641.0	['enough', 'nurses', 'doctors', 'ambulances', 'firefighters', 'drivers', 'taxis', 'support', 'workers', 'emergency', 'services', 'anything', 'help', 'nepal']
1429937642.0	['weve', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429937652.0	['launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake']
1429937692.0	['weve', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt', 'http']
1429937693.0	['google', 'launched', 'missing', 'person', 'finder']
{'corrected_tags': 'I-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429937746.0	['looking', 'missing', 'person', 'information', 'abt', 'someone', 'please', 'locate', 'using']
1429937766.0	['volunteer', 'request']
1429937767.0	['google', 'india', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429937772.0	['least', '15', 'climbers', 'reported', 'missing']
{'corrected_tags': 'B-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429937911.0	['popular', 'tower', 'nepal', 'named', 'dhardhara', 'tower', 'fell', 'earthquackkk']
1429937946.0	['families', 'tourists', 'stuck', 'pls', 'contact', 'govt', '02222027990', 'assistance']
1429937996.0	['tonne', 'relief', 'materials', 'carrying', 'food', 'amp', 'medicines', 'earth', 'excavation', 'equipments', 'sent', 'nepal', 'india']
1429937999.0	['kathmandu', 'earthquake', 'leaves', 'buildings', 'ruins', 'death', 'toll', 'rises', 'video']
1429937999.0	['several', 'buildings', 'including', 'ancient', 'temples', 'collapse', 'read']
1429938030.0	['people', 'retrieved', 'rubble', 'earthquake', 'hits', 'nepal']
{'corrected_tags': 'I-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429938056.0	['felt', 'kathmandu', 'earthquake', 'dengboche', 'fierce', 'one', 'wall', 'ceiling', 'collapsed', 'guesthouse', 'nobody', 'got', 'injured']
1429938080.0	['good', 'news', 'airport', 'open']
1429938095.0	['still', 'struggling', 'contact', 'family', 'amp', 'friends', 'amp', 'anyone', 'suggest', 'connecting', 'frm', 'abroad']
1429938101.0	['families', 'tourists', 'stuck', 'pls', 'contact', 'govt', '02222027990', 'assistance']
1429938106.0	['flights', 'kathmandu', 'delhi', 'operational', 'please', 'check', 'flight', 'status']
1429938136.0	['hundreds', 'feared', 'trapped', 'kathmandus', 'crumbled', 'tower', 'local', 'media']
1429938141.0	['family', 'members', 'living', 'nepal', 'india', 'border', 'areas', 'frantically', 'trying', 'call']
1429938145.0	['quake', 'update', 'kathmandu', 'airport', 'shut', 'flights', 'india', 'cancelled', 'read']
{'corrected_tags': 'B-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429938205.0	['google', 'launched', 'person', 'finder', 'nepal']
1429938216.0	['families', 'tourists', 'stuck', 'nepal', 'pls', 'contact', 'maharashtra', 'govt', '02222027990', 'assistance']
{'corrected_tags': 'I-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429938339.0	['launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429938355.0	['rescuers', 'help', 'injured', 'residents', 'get', 'safe', 'area']
1429938357.0	['first', 'plane', 'taken', 'nepal', 'relief', 'material', 'fast', 'bravo', 'iaf', 'goi', 'action', 'countries', 'still', 'sleeping']
1429938371.0	['sends', 'relief', 'nepal']
1429938401.0	['weve', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429938411.0	['climbers', 'camp', 'survived', 'route', 'completely', 'destroyed', 'avalanche', 'climbers', 'stuck', 'camp', 'camp']
1429938411.0	['google', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429938426.0	['15', 'national', 'disaster', 'response', 'force', 'teams', 'form', 'ready', 'deployed']
1429938429.0	['google', 'launches', 'person', 'finder', 'nepal', 'earthquake']
1429938430.0	['rescuers', 'help', 'injured', 'residents', 'get', 'safe', 'area']
1429938454.0	['google', 'launched', 'person', 'finder', 'please']
{'corrected_tags': 'I-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429938491.0	['google', 'person', 'finder']
1429938532.0	['family', 'members', 'living', 'nepal', 'india', 'border', 'areas', 'frantically', 'trying', 'call', 'family', 'kathmandu']
1429938535.0	['cousin', 'sent', 'pictures', 'entire', 'bhaktpur', 'durbar', 'square']
1429938536.0	['one', '17', 'globemaster', 'iii', 'fly', 'later', 'hindan', 'kathmandu', 'carrying', 'radiological', 'medical', 'team', 'docs', 'ministry', 'defence']
1429938537.0	['google', 'launches', 'person', 'finder', 'nepal', 'earthquake', 'googlecr']
1429938561.0	['person', 'finder', 'please', 'use', 'region']
1429938593.0	['chinas', 'severely', 'affected', 'houses', 'collapsed', 'communications', 'cut']
1429938604.0	['kathmandu', 'earthquake', 'leaves', 'buildings', 'ruins', 'death', 'toll', 'rises', 'video']
{'corrected_tags': 'B-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429938623.0	['patan', 'durbar', 'square', 'ruins', 'famous', 'temples', 'including', 'krishna', 'temple', 'reportedly', 'destroyed']
1429938639.0	['massive', 'relief', 'way', '15', 'teams', 'ready', 'sent', 'one', 'aircraft', 'already', 'way']
1429938670.0	['google', 'launches', 'person', 'finder', 'nepal', 'earthquake', 'googlecr']
1429938701.0	['nepal', 'quake', 'kathmandu', 'airport', 'shut', 'flights', 'india', 'cancelled', 'via']
1429938703.0	['great', 'airport', 'help', 'get']
1429938714.0	['massive', 'relief', 'way', '15', 'teams', 'ready', 'sent', 'one', 'aircraft', 'already', 'way']
1429938726.0	['chinas', 'severely', 'affected', 'houses', 'collapsed', 'communications', 'cut']
1429938731.0	['3novices', 'massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hold', 'services', 'kathman']
1429938736.0	['tonne', 'relief', 'materials', 'carrying', 'food', 'amp', 'medicines', 'earth', 'excavation', 'equipments', 'sent', 'nepal', 'india', 'http']
{'corrected_tags': 'B-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429938771.0	['launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons']
1429938787.0	['climbers', 'camp', 'survived', 'route', 'completely', 'destroyed', 'avalanche', 'climbers', 'stuck', 'camp', 'camp']
1429938793.0	['looking', 'someone']
1429938810.0	['chinas', 'severely', 'affected', 'houses', 'collapsed', 'communications', 'cut']
1429938817.0	['google', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429938831.0	['sir', 'good', 'eve', 'gorkha', 'army', 'pers', 'grt', 'help', 'plz', 'send', 'relief', 'reqd', 'good', 'solace']
1429938868.0	['chinas', 'severely', 'affected', 'communications', 'cut']
1429938872.0	['one', '130j', 'superhercules', 'aircraft', 'iaf', 'taken', 'hindan', 'ndrf', 'teams', 'kathmandu', 'mod']
1429938874.0	['new', 'post', 'buildings', 'roads', 'major', 'nepal', 'earthquake', 'cnn', 'sister', 'network', 'cnn', 'ibn']
{'corrected_tags': 'B-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429938892.0	['weve', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429938916.0	['kathmandu', 'airport', 'shut', 'flights', 'india', 'cancelled', 'new', 'delhi', 'april', '25', 'ians', 'tribhuvan', 'international']
1429938920.0	['kathmandu', 'airport', 'shut', 'flights', 'india', 'cancelled']
1429938922.0	['kathmandu', 'airport', 'shut', 'flights', 'india', 'cancelled']
1429938948.0	['flights', 'kathmandu', 'put', 'hold', 'newsroompost', 'via']
1429938950.0	['need', 'find', 'brother', 'communication', 'yet', 'worried']
1429938951.0	['il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams']
1429938965.0	['severely', 'affected', 'houses', 'collapsed', 'communications', 'cut']
1429938976.0	['launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons']
1429938994.0	['magnitude', 'quake', 'strikes', 'kathmandu', 'toppling', 'homes', 'famed', 'ancient', 'temples', 'japan', 'times']
1429938998.0	['plz', 'send', 'medical', 'supplies', 'paramedics', 'temporary', 'shelters', 'asap']
1429939011.0	['tourists', 'gujarat', 'stranded', 'nepal', 'kin', 'contact', 'control', 'room', 'nagar', '079', '23251900', '902', '907', '908', '914']
{'corrected_tags': 'I-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429939016.0	['launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429939036.0	['promtaction', 'send', 'relief', 'materials', 'flights', 'take', 'frm', 'soon']
1429939054.0	['care', 'kathmandu', 'walls', 'broken', 'ppl', 'traumatised', 'strong', 'aftershocks', 'spokesppl', 'available']
1429939057.0	['flights', 'kathmandu', 'put', 'hold', 'following', 'powerful', 'earthquake', 'read']
1429939060.0	['home', 'town', 'piles', 'rubble', 'beloved', 'patan', 'chaos']
1429939067.0	['tourists', 'gujarat', 'stranded', 'nepal', 'kin', 'contact', 'control', 'room', 'gandhinagar', '079', '23251900', '902', '907', '908', '91']
1429939067.0	['massive', 'earthquake', 'commercial', 'flights', 'kathmandu', 'put', 'hold']
1429939078.0	['need', 'find', 'brother', 'communication', 'yet', 'worried', 'https']
1429939080.0	['really', 'contact', 'embassy', 'help', 'nepal', 'position', 'refuse']
1429939083.0	['gujarat', 'maybe', 'stranded', 'due', 'catastrophe', 'contact', 'numbers', 'given']
1429939089.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold']
1429939090.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold']
1429939091.0	['mandu', 'airport', 'shut', 'flights', 'india', 'cancelled', 'via']
1429939092.0	['person', 'finder', '2015', 'nepal', 'earthquake']
1429939094.0	['google', 'person', 'finder']
1429939096.0	['body', 'count', 'reaches', '450', 'launch', 'person', 'finder']
1429939102.0	['iaf', 'pressed', 'service', 'flights', 'carrying', 'relief', 'materials', 'take', 'hindon', 'airbase', 'uttar', 'pra']
1429939106.0	['google', 'person', 'finder', '2015', 'nepal']
1429939111.0	['good', 'news', 'airport', 'open']
1429939119.0	['isbpl', 'massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'http']
{'corrected_tags': 'I-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429939149.0	['flights', 'seem', 'getting', 'though']
1429939150.0	['severely', 'affected', 'houses', 'collapsed', 'communications', 'cut']
1429939154.0	['massive', 'earthquake', 'commercial', 'flights', 'kathmandu', 'put', 'hold']
1429939159.0	['tribhuvan', 'airport', 'kathmandu', 'opened', '130', 'aircraft', 'india', 'carrying', 'relief', 'materials', 'land']
1429939165.0	['google', 'person', 'finder', 'nepal', 'earthquake', 'pls']
1429939165.0	['kathmandu', 'airport', 'shut', 'flights', 'india', 'cancelled']
1429939176.0	['nepal', 'earthquake', 'iaf', 'pressed', 'service', 'flights', 'carrying', 'relief', 'materials', 'take', 'hindon', 'airbase', 'uttar', 'pradesh']
1429939178.0	['google', 'launches', 'person', 'finder', 'nepal', 'earthquake']
1429939181.0	['new', 'high', 'rises', 'ok', 'old', 'buildings', 'temples', 'reduced', 'rubble']
1429939189.0	['look', 'level', 'trust', 'amp', 'love', 'gen', 'vksingh', 'people', 'want', 'supervise', 'everything', 'amp', 'everywhere']
1429939197.0	['google', 'launches', 'person', 'finder']
1429939214.0	['earthquakes', 'kill', 'scores', 'nepal', 'india', 'historic', 'dharahara', 'tower', 'collapses', 'kathmandu', 'airport', 'shut']
1429939217.0	['ndtv', 'massive', 'earthquake', 'commercial', 'flights', 'kathmandu', 'put', 'hold']
1429939221.0	['airport', 'open', 'amp', 'operating']
1429939227.0	['pm', 'modi', 'speaks', 'nepal', 'pm', 'assures', 'assistance', 'toll', 'bihar', 'rises', '14']
{'corrected_tags': 'I-infrastructure', 'event_type': 'infrastructure', 'event_id': 2, 'doc': 'NepalEQ'}
1429939278.0	['airport', 'open', 'amp', 'operating']
1429939280.0	['massive', 'quake', 'commercial', 'flights', 'put', 'hold', 'live']
1429939280.0	['tourists', 'gujarat', 'stranded', 'nepal', 'kin', 'contact', 'control', 'room', 'nagar', '079', '23251900', '902', '907', '908', '914', '918', 'help']
1429939282.0	['google', 'launches', 'person', 'finder', 'nepal', 'earthquake']
1429939282.0	['best', 'man', 'helping', 'goi', 'shd', 'send', 'coordinate', 'relief', 'efforts']
1429939284.0	['airport', 'open']
1429939291.0	['news', 'flash', 'indian', 'flights', 'kathmandu', 'put', 'hold']
1429939297.0	['person', 'finder', '2015', 'nepal', 'earthquake']
1429939310.0	['google', 'person', 'finder']
1429939313.0	['google', 'person', 'finder', 'info', 'missing', 'safe', 'persons', 'plz', 'fill', 'via']
1429939332.0	['spokespersonmod', 'one', '130j', 'superhercules', 'aircraft', 'iaf', 'taken', 'hindan', 'ndrf', 'teams', 'kathmandu']
1429939333.0	['spokespersonmod', 'one', '17', 'globemaster', 'iii', 'fly', 'later', 'hindan', 'kathmandu', 'carrying', 'rapid', 'reaction', 'aero']
1429939334.0	['news', 'flash', 'indian', 'flights', 'kathmandu', 'put', 'hold']
1429939358.0	['ktm', 'airport', 'operational', 'among', 'first', 'depart', '3u8720', 'lxa', '9w263', 'del', 'amp', 'qr653', 'doh']
1429939366.0	['one', '130j', 'superhercules', 'aircraft', 'iaf', 'taken', 'hindan', 'ndrf', 'teams', 'kathmandu']
1429939369.0	['buildings', 'roads', 'major', 'nepal', 'earthquake', 'cnn', 'sister', 'network', 'cnn', 'ibn', 'reports']
1429939374.0	['valley', 'shrouded', 'dust', 'mag', 'quake', 'airport', 'closed', 'lots', 'damage']
1429939376.0	['mt', 'nepal', 'eq', 'also', 'toppled', 'buildings', 'tibet', 'chinese', 'state', 'media', 'reports', 'word', 'casualties']
1429939380.0	['indian', 'flights', 'kathmandu', 'put', 'hold']
1429939388.0	['incredible', 'image', 'man', 'trapped', 'upto', 'chest', 'one', 'lucky', 'ones']
1429939398.0	['google', 'person', 'finder', 'india']
{'corrected_tags': 'B-volunteer', 'event_type': 'volunteer', 'event_id': 0, 'doc': 'NepalEQ'}
1429939406.0	['home', 'town', 'piles', 'rubble', 'country', 'chaos', 'heart', 'aches']
1429939409.0	['il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams']
1429939414.0	['google', 'person', 'finder', 'nepal', 'eq']
1429939415.0	['first', 'relief', 'plane', 'leaves', 'kathmandu', 'delhi', '40', 'national', 'disaster', 'response', 'force', 'personnel', 'tonnes', 'medical', 'rel']
1429939417.0	['2nd', 'relief', 'flight', 'ready', 'leave']
1429939420.0	['historic', '19th', 'century', 'tower', 'dharara', 'longer', 'us', 'quake', 'stopping']
1429939427.0	['timesofindia', 'toi', 'il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams', 'mod']
1429939429.0	['several', 'buildings', 'including', 'ancient', 'temples', 'collapse', 'read', 'http']
1429939475.0	['red', 'cross', 'aids', 'rescue', 'efforts', 'nepal']
1429939482.0	['one', '17', 'globemaster', 'iii', 'fly', 'later', 'hindan', 'kathmandu', 'carrying', 'rapid', 'reaction', 'aero', 'medical', 'team', 'mod']
1429939485.0	['one', '130j', 'superhercules', 'aircraft', 'iaf', 'taken', 'hindan', 'ndrf', 'teams', 'kathmandu']
1429939491.0	['slideshow', 'temples', 'historic', 'buildings', 'collapse', 'nepal', 'click']
1429939492.0	['weve', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons', 'earthquake', 'gt']
1429939495.0	['il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams', 'mod', 'spokesperson']
1429939499.0	['kathmandu', 'airport', 'open', 'closed', 'following', 'massive']
1429939515.0	['person', 'finder', '2015', 'nepal', 'earthquake', 'via', 'thanks']
1429939515.0	['il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams']
1429939525.0	['google', 'starts', 'person', 'finder', 'help', 'people', 'looking', 'dear', 'ones', 'missing', 'nepal', 'earthquake', 'pls', 'share']
{'corrected_tags': 'B-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429939534.0	['earthquake', 'update', 'govt', 'mobilised', '10', 'ndrf', 'teams', 'nepal']
1429939536.0	['one', '17', 'globemaster', 'iii', 'fly', 'later', 'hindan', 'kathmandu', 'carrying', 'rapid', 'reaction', 'aer']
1429939542.0	['kathmandu', 'airport', 'open', 'closed', 'following', 'massive']
1429939550.0	['services', 'suspended', 'business', 'line']
1429939553.0	['il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams', 'mod']
1429939555.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hol']
1429939555.0	['boarding', 'flight', 'cape', 'town', 'know', 'expect', 'airport', 'closed']
1429939557.0	['nepal', 'facing', 'problems', 'due', 'network', 'failure', 'says', 'former', 'pm', 'chand', 'business', 'standard', 'news']
1429939560.0	['one', '17', 'globemaster', 'iii', 'fly', 'later', 'hindan', 'kathmandu', 'carrying', 'radiological', 'medical', 'team', 'docs', 'min']
1429939571.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hold', 'thei']
1429939573.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hold', 'thei']
1429939574.0	['iaf', '130', 'superhercules', 'ndrf', 'relief', 'teams', 'onboard', 'airborne', 'kathmandu', 'relief', 'efforts', 'und']
1429939574.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold']
1429939576.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hold', 'thei']
1429939578.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hold', 'services', 'kathmandu']
1429939580.0	['first', 'images', 'coming', 'watch', 'space', 'updates', 'appear']
1429939582.0	['first', 'relief', 'plane', 'leaves', 'kathmandu', 'delhi', '40', 'national', 'disaster', 'response', 'force', 'personnel', 'tonnes', 'medical', 'relief']
1429939584.0	['another', 'swayamsevaks', 'team', 'leaving', 'nepal', '00', 'pm', 'domariyaganj', 'anybody', 'interested', 'assist', 'volunteer', 'pl']
1429939584.0	['instructed', 'state', 'disaster', 'management', 'team', 'prepared', 'rescue', 'ops', 'location', 'nepal', 'india', 'required', 'maha', 'cm', 'de']
1429939585.0	['dust', 'settles', 'rescue', 'operations', 'begin', 'across', 'nepal', 'stay', 'tuned', 'details']
1429939586.0	['first', 'relief', 'plane', 'leaves', 'delhi', 'kathmandu', '40', 'national', 'disaster', 'response', 'force', 'personnel', 'tonnes', 'medical', 'relief']
1429939590.0	['first', 'hours', 'huge', 'aftershocks', 'reported', 'every', '15', 'mins', 'residents', 'streets', 'safe']
1429939592.0	['01123380325', 'helpline', 'number', 'set', 'maharashtra', 'sadan', 'delhi', 'inquiry', 'maharashtrians', 'nepal']
1429939597.0	['hundreds', 'feared', 'trapped', 'kathmandus', 'crumbled', 'tower', 'local', 'media', 'via']
1429939602.0	['latest', 'visuals', 'iaf', '130', 'way', 'nepal', 'rescue', 'operations']
1429939605.0	['good', 'know', 'one', '130j', 'superhercules', 'aircraft', 'iaf', 'taken', 'ndrf', 'teams', 'kathmandu', 'relief', 'operation']
1429939608.0	['shallow', 'earthquake', '10', 'km', 'depth', 'could', 'primary', 'reason', 'big', 'damage', 'around', 'epicenter', 'nep']
1429939609.0	['kudos', 'alertness', 'visibility', 'amp', 'rapid', 'action', 'post', 'nepal', 'earthquake', 'country', 'expects', 'amp', 'deserves', 'thi']
1429939611.0	['incredible', 'image', 'man', 'trapped', 'upto', 'chest', 'one', 'lucky', 'ones', 'http']
1429939613.0	['pib', 'india', 'spokespersonmod', 'il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams']
1429939614.0	['google', 'showing', 'search', 'query', 'nepal', 'earthquake']
1429939614.0	['incredible', 'image', 'man', 'trapped', 'upto', 'chest', 'one', 'lucky', 'ones', 'http']
1429939614.0	['earthquake', 'update', 'relief', 'plane', 'leaves', 'kathmandu', 'tonnes', 'medical', 'relief']
1429939631.0	['happy', 'massive', 'earthquake', 'commercial', 'flights', 'kathmandu', 'put', 'hold']
1429939632.0	['house', 'sale', 'kirti', 'colony', 'chobhar']
1429939634.0	['praying', 'everyone', 'safety', 'nepal']
1429939635.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hold', 'thei']
1429939636.0	['lot', 'damage', 'nepal', 'amp', 'also', 'india', 'affected', 'earth', 'quake', 'today', 'would', 'help', 'manpower', 'amp', 'sources']
1429939637.0	['cousin', 'lived', 'years', 'hope', 'friends', 'ok']
1429939637.0	['flights', 'kathmandu', 'put', 'hold']
1429939640.0	['massive', 'earthquake', 'flights', 'kathmandu', 'put', 'hold', 'indian', 'domestic', 'airlines', 'put', 'hold', 'thei']
1429939643.0	['instructed', 'state', 'disaster', 'management', 'team', 'prepared', 'rescue', 'operations', 'location', 'nepal', 'india']
1429939643.0	['death', 'recorded', 'due', 'crash', 'primary', 'school', 'wall', 'basantapur', 'village', 'amp', 'officers', 'site', 'help']
1429939650.0	['tough', 'day', 'nepal', 'peoples', 'rip', 'earthquake', 'victims']
{'corrected_tags': 'I-missing', 'event_type': 'missing', 'event_id': 3, 'doc': 'NepalEQ'}
1429939658.0	['haha', 'blaming', 'cattle', 'sacrifice', 'bastards', 'hindi', 'news', 'channels', 'discussing', 'blame', 'tragedy']
1429939659.0	['apps', 'help']
1429939672.0	['local', 'legislators', 'bjp', 'amp', 'sp', 'local', 'bjp', 'mps', 'given', 'financial', 'help', 'swayamsevaks', 'leaving', 'ne']
1429939699.0	['seismicity', 'map', 'nepal']
1429939706.0	['sir', 'pls', 'send', 'immediately', 'nepal', 'rescue', 'operation']
1429939715.0	['mod', 'puts', 'indian', 'army', 'bro', 'iaf', 'assets', 'standby', 'task', 'view', 'earthquake']
1429939721.0	['people', 'stand', 'runway', 'outside', 'tribhuvan', 'international', 'airport', 'hit']
1429939730.0	['prayer', 'flags', 'house', 'make', 'hard', 'think', 'nepal']
1429939736.0	['call', '1114', 'quick', 'response']
1429939738.0	['il', '76', 'indian', 'air', 'force', 'leave', '00', 'pm', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams', 'ministry', 'defence']
1429939739.0	['il', '76', 'iaf', 'leave', '1800', 'hr', 'kathmandu', 'bhatinda', 'carrying', 'ndrf', 'teams']
1429939740.0	['sir', 'latest', 'pics', 'nepal', 'wtf', 'temples', 'watchtower', 'gim', 'uprooted', 'buildings', 'ripped', 'highways']
1429939753.0	['buildings', 'collapse', 'nepal', 'capital', 'quake', 'witnesses']
1429939755.0	['inaugurated', 'today', 'emergency', 'blood', 'bank', 'preparedness', 'safer', 'communities', 'eps', 'programme', 'http']
1429939756.0	['feared', 'decades', 'massive', 'earthquake', 'coming', 'would', 'helpless', 'devastated', 'hear', 'abou']
1429939756.0	['indian', 'air', 'force', 'transport', 'helicopter', 'assets', 'standby', 'task', 'given', 'government']
1429939758.0	['google', 'person', 'finder', 'nepal', '2015', 'earthquake']
1429939759.0	['journalist', 'says', 'scene', 'terrifying', 'nepal', 'totally', 'unprepared', 'catastrophe', 'ah']
1429939762.0	['pl', 'launched', 'person', 'finder', 'instance', 'help', 'track', 'missing', 'persons']
1429939765.0	['search', 'survives', 'begins', 'nepal', 'rocked', 'magnitude', 'earthquake', 'image']
1429939774.0	['please', 'spread', 'helpline', 'number', 'nepal']
{'corrected_tags': 'B-volunteer', 'event_type': 'volunteer', 'event_id': 0, 'doc': 'NepalEQ'}
